Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
18:18:14,1300,70,36,49,0
18:18:15,1301,70,36,49,0
18:18:16,1302,71,36,49,0
18:18:17,1303,71,36,49,0
18:18:18,1304,71,38,49,0
18:18:19,1305,73,37,49,0
18:18:20,1306,73,36,49,0
18:18:21,1307,73,35,49,0
18:18:22,1308,73,36,49,0
18:18:23,1309,73,36,49,0
18:18:24,1310,73,35,49,0
18:18:25,1311,73,35,49,0
18:18:26,1312,73,32,49,0
18:18:27,1313,73,33,49,0
18:18:28,1314,73,33,49,0
18:18:29,1315,70,32,49,0
18:18:30,1316,69,34,49,0
18:18:31,1317,69,34,49,0
18:18:32,1318,69,35,49,0
18:18:33,1319,69,36,49,0
18:18:34,1320,69,35,49,0
18:18:35,1321,69,36,49,0
18:18:36,1322,68,36,49,0
18:18:37,1323,68,36,49,0
18:18:38,1324,68,35,49,0
18:18:39,1325,68,35,49,0
